,d_names,a_names,sim_score,admit_rate
162,Davidson,Davidson College,0.7071067811865475,0.256059009483667
163,SUNY Geneseo,SUNY College at Geneseo,0.816496580927726,0.4565691837625491
164,Saint Rose,The College of Saint Rose,0.816496580927726,0.7751021285745001
165,James Madison,James Madison University,0.816496580927726,0.635552808194984
166,Mount Union,University of Mount Union,0.816496580927726,0.7120300751879699
167,Washington (Md.),Washington College,0.4999999999999999,0.6654826577517761
168,Hofstra,Hofstra University,0.7071067811865475,0.5870760568336779
169,Hawaii Pacific,Hawaii Pacific University,0.816496580927726,0.6410743998098407
170,Huntingdon,Huntingdon College,0.7071067811865475,0.6278911564625851
171,Rider,Rider University,0.7071067811865475,0.7187422629363703
172,St. Andrews University,St Andrews University,1.0000000000000002,0.6447661469933185
173,Valparaiso,Valparaiso University,0.7071067811865475,0.7968647942521228
174,Hamilton,Hamilton College,0.7071067811865475,0.2718756228822005
175,Charlotte,Queens University of Charlotte,0.5773502691896258,0.7685992816829144
176,Georgia State,Georgia State University,0.816496580927726,0.5465802735781138
177,Crown,Crown College,0.7071067811865475,0.550047664442326
178,Minnesota-Morris,University of Minnesota-Morris,0.816496580927726,0.5764439411098528
179,Milligan,Milligan College,0.7071067811865475,0.6830065359477124
180,UC Santa Barbara,University of California-Santa Barbara,0.5773502691896258,0.4443881428933367
181,San Francisco,University of San Francisco,0.816496580927726,0.6129119394921664
182,Carleton,Carleton College,0.7071067811865475,0.20951029098651525
183,Greensboro College,Greensboro College,0.9999999999999998,0.7831050228310502
184,Texas-Tyler,The University of Texas at Tyler,0.816496580927726,0.8203422053231939
185,Neumann,Neumann University,0.7071067811865475,0.5531351192228436
186,Grinnell,Grinnell College,0.7071067811865475,0.3505906006534305
187,Rockford,Rockford University,0.7071067811865475,0.409683426443203
188,Saint Francis (PA),Saint Francis University,0.6666666666666669,0.7605717689100655
189,Trine,Trine University,0.7071067811865475,0.7157307289850018
190,Willamette,Willamette University,0.7071067811865475,0.5783697126649402
191,St. Mary's Texas,St Mary's University,0.6666666666666669,0.582280940353604
192,Fort Lewis,Fort Lewis College,0.816496580927726,0.875
193,St. Edward's,Edward Waters College,0.408248290463863,0.2732039853172522
194,Virginia,Southern Virginia University,0.5773502691896258,0.9986893840104849
195,Roanoke College,Roanoke College,0.9999999999999998,0.7281017518598513
196,Wingate,Wingate University,0.7071067811865475,0.7929738869058801
197,Adams State,Adams State University,0.816496580927726,0.5259593679458239
198,Harvard,Harvard University,0.7071067811865475,0.05844730605602033
199,Eastern,Eastern University,0.7071067811865475,0.6408566721581549
200,Ohio Dominican University,Ohio Dominican University,1.0000000000000002,0.4939668174962293
201,Susquehanna,Susquehanna University,0.7071067811865475,0.7233447311159465
202,Bryan College,Bryan College-Dayton,0.816496580927726,0.37619461337966986
203,Providence,Providence College,0.7071067811865475,0.5979296066252588
204,Hendrix,Hendrix College,0.7071067811865475,0.803941908713693
205,Central College,Central College,0.9999999999999998,0.6579873328641802
206,Haverford,Haverford College,0.7071067811865475,0.23486750348675034
207,Berry,Berry College,0.7071067811865475,0.6031786721353499
208,Maine Maritime,Maine Maritime Academy,0.816496580927726,0.6536030341340076
209,Florida Southern,Florida Southern College,0.816496580927726,0.4988917993149305
210,Notre Dame,University of Notre Dame,0.816496580927726,0.2230407434691449
211,Messiah,Messiah College,0.7071067811865475,0.6590267983074753
212,Omaha,University of Nebraska at Omaha,0.5773502691896258,0.7077699293642785
213,Williams,Williams College,0.7071067811865475,0.17017965766020654
214,Carnegie Mellon,Carnegie Mellon University,0.816496580927726,0.2548718491844948
215,Christopher Newport,Christopher Newport University,0.816496580927726,0.5902223489167617
216,Johnson & Wales,Johnson & Wales University-Providence,0.7071067811865475,0.7601908767389195
217,Northern Kentucky,Northern Kentucky University,0.816496580927726,0.4670158550396376
218,Springfield,Springfield College,0.7071067811865475,0.6992380098610489
219,Hartford,University of Hartford,0.7071067811865475,0.6173068024062934
220,Centre,Centre College,0.7071067811865475,0.685748124753257
221,Holy Cross,Holy Cross College,0.816496580927726,0.7230769230769231
222,Loyola-Chicago,Loyola University Chicago,0.816496580927726,0.9140369209334727
223,Brown,Brown University,0.7071067811865475,0.09177357446661365
224,Brevard,Brevard College,0.7071067811865475,0.4488908220965637
225,Georgetown,Georgetown University,0.7071067811865475,0.16967437235893612
226,Clayton State,Clayton  State University,0.816496580927726,0.47702834799608995
227,Penn State-Behrend,Pennsylvania State University-Penn State Shenango,0.7499999999999998,0.6943231441048034
228,CSU Bakersfield,California State University-Bakersfield,0.35355339059327373,0.6625942684766214
229,Middlebury,Middlebury College,0.7071067811865475,0.17158358765683282
230,SUNY Fredonia,SUNY at Fredonia,0.9999999999999998,0.5153833078361381
231,Mercy,Mercy College,0.7071067811865475,0.5724106324472961
232,Cal State Dominguez Hills,California State University-Dominguez Hills,0.6708203932499369,0.5746845746845747
233,Eastern New Mexico,Eastern New Mexico University-Main Campus,0.7071067811865477,0.6320712694877506
234,NC State,Pennsylvania State University-Penn State Shenango,0.4999999999999999,0.6943231441048034
235,Eastern Illinois,Eastern Illinois University,0.816496580927726,0.6190838726049994
236,Allegheny College,Allegheny College,0.9999999999999998,0.6487145390070922
237,Mars Hill,Mars Hill University,0.816496580927726,0.6447050707140394
238,Piedmont,Piedmont College,0.7071067811865475,0.611764705882353
239,Eastern Connecticut State,Eastern Connecticut State University,0.8660254037844388,0.6453442879499217
240,Nova Southeastern,Nova Southeastern University,0.816496580927726,0.574630314232902
241,Ouachita Baptist,Ouachita Baptist University,0.816496580927726,0.7011494252873564
242,Defiance,Defiance College,0.7071067811865475,0.715962441314554
243,Franklin,Franklin College,0.7071067811865475,0.60018009905448
244,Missouri State,Missouri Southern State University,0.7071067811865475,0.9727694090382387
245,Scranton,University of Scranton,0.7071067811865475,0.7503026301309563
246,Covenant,Covenant College,0.7071067811865475,0.5704162976085031
247,Mount Aloysius,Mount Aloysius College,0.816496580927726,0.6875808538163001
248,Lees-McRae College,Brewton-Parker College,1.0,0.5136842105263157
249,Holy Family,Holy Family University,0.816496580927726,0.7585185185185185
250,Simon Fraser,Bard College at Simon's Rock,0.35355339059327373,0.9220183486238532
251,Connecticut,Connecticut College,0.7071067811865475,0.3584866652884019
252,South Florida,University of South Florida-Sarasota-Manatee,0.816496580927726,0.3460559796437659
253,Le Moyne,Le Moyne College,0.816496580927726,0.6190074274139096
254,Hannibal-LaGrange,LaGrange College,0.7071067811865475,0.5837378640776699
255,The Master's,The Master's College and Seminary,0.5773502691896258,0.6136631330977621
256,USC Upstate,University of South Carolina-Upstate,0.35355339059327373,0.642204827136334
257,Wofford,Wofford College,0.7071067811865475,0.6880058866813834
258,St. Lawrence,St Lawrence University,0.816496580927726,0.4642857142857143
259,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1.0000000000000002,0.08152088050976881
260,Edgewood,Edgewood College,0.7071067811865475,0.7656129529683886
261,Sacred Heart,Sacred Heart University,0.816496580927726,0.7623698753373602
262,Thomas More,Thomas University,0.7071067811865475,0.6862745098039216
263,Rockhurst,Rockhurst University,0.7071067811865475,0.7542701863354038
264,Gordon,Gordon College,0.7071067811865475,0.41332002993265154
265,Temple,Temple University,0.7071067811865475,0.6387072768830064
266,Delaware,University of Delaware,0.7071067811865475,0.6468300730615131
267,Stanislaus State,California State University-Stanislaus,0.7071067811865475,0.7214992191566892
268,Rhode Island,Rhode Island College,0.816496580927726,0.6914514692787177
269,Chowan,Chowan University,0.7071067811865475,0.6154261057173679
270,University of New England,University of New England,1.0000000000000002,0.8584259040415977
271,Midwestern State,Midwestern State University,0.816496580927726,0.7178299702282501
272,New Hampshire,Southern New Hampshire University,0.7071067811865475,0.7865523465703971
273,Colorado Mesa University,Colorado Mesa University,1.0000000000000002,0.8211797491871807
274,Duke,Duke University,0.7071067811865475,0.13422664120629485
275,Wisconsin-Green Bay,University of Wisconsin-Green Bay,0.8660254037844388,0.8476190476190476
276,Taylor,Taylor University,0.7071067811865475,0.87599266951741
277,Cedarville,Cedarville University,0.7071067811865475,0.7401285583103765
278,Webster,Webster University,0.7071067811865475,0.5806451612903226
279,Catawba,Catawba College,0.7071067811865475,0.4057656540607564
280,Cal State East Bay,California State University-East Bay,0.6708203932499369,0.6872302017110117
281,Ohio Wesleyan,Ohio Wesleyan University,0.816496580927726,0.7532886572350459
282,Presbyterian,Presbyterian College,0.7071067811865475,0.66
283,Wesley,Wesley College,0.7071067811865475,0.6249573815206273
284,Radford,Radford University,0.7071067811865475,0.7831232312837664
285,Bowling Green,Bowling Green State University-Main Campus,0.5773502691896258,0.7247115813627383
286,Martin Luther,Martin Luther College,0.816496580927726,0.9617224880382775
287,Washington (Mo.),Washington College,0.4999999999999999,0.6654826577517761
288,Boston University,Boston University,0.9999999999999998,0.45609689587783486
289,Kentucky,University of Kentucky,0.7071067811865475,0.686118122160525
290,Adelphi,Adelphi University,0.7071067811865475,0.6814189969956089
291,Seattle Pacific,Seattle Pacific University,0.816496580927726,0.7213939980638916
292,Colorado Mines,Colorado School of Mines,0.816496580927726,0.37433658620099297
293,Montreat,Montreat College,0.7071067811865475,0.5428571428571428
294,Jacksonville,Jacksonville University,0.7071067811865475,0.47369925671812463
295,Northwest (Wash.),Northwest University,0.4999999999999999,0.9720430107526882
296,Appalachian State,Appalachian State University,0.816496580927726,0.6322664924885696
297,Rosemont,Rosemont College,0.7071067811865475,0.5838264299802761
298,Old Dominion,Old Dominion University,0.816496580927726,0.7678658955004412
299,Whittier,Whittier College,0.7071067811865475,0.6325039945217987
300,Central Arkansas,University of Central Arkansas,0.816496580927726,0.8996993714129543
301,Drew,Drew University,0.7071067811865475,0.7743440233236152
302,Queens University of Charlotte,Queens University of Charlotte,1.0000000000000002,0.7685992816829144
303,Iona College,Iona College,0.9999999999999998,0.9211639316528506
304,Arcadia,Arcadia University,0.7071067811865475,0.5968984179850125
305,Florida Tech,Florida College,0.4999999999999999,0.587467362924282
306,Western Washington,Western Washington University,0.816496580927726,0.8370774721813983
307,Dubuque,University of Dubuque,0.7071067811865475,0.7741935483870968
308,Detroit Mercy,University of Detroit Mercy,0.816496580927726,0.6147138964577656
309,Concordia-Chicago,Concordia University-Chicago,0.816496580927726,0.5441495124593716
310,Grand Canyon,Grand View University,0.408248290463863,0.9541511771995044
311,Drexel,Drexel University,0.7071067811865475,0.8149960177494595
312,Nichols,Nichols College,0.7071067811865475,0.8047218887555022
313,Belhaven,Belhaven University,0.7071067811865475,0.4842105263157895
314,Centenary (LA),Centenary College,0.4999999999999999,0.9094412331406551
315,William Jewell,William Jewell College,0.816496580927726,0.5778087927424983
316,Cornell,Cornell College,0.7071067811865475,0.6411070780399274
317,Oglethorpe,Oglethorpe University,0.7071067811865475,0.5575743811037929
318,Endicott,Endicott College,0.7071067811865475,0.7164625850340136
319,Colgate,Colgate University,0.7071067811865475,0.2637926916646764
320,Fordham,Fordham University,0.7071067811865475,0.4712758020392937
321,North Carolina,North Carolina A & T State University,0.7071067811865475,0.6964285714285714
322,Malone,Malone University,0.7071067811865475,0.7179294823705926
323,Pacific,University of the Pacific,0.7071067811865475,0.726480101251582
324,Dominican (N.Y.),Dominican University,0.7071067811865475,0.5996573386636208
325,Bates,Bates College,0.7071067811865475,0.2416555407209613
326,Concordia-Wisconsin,Concordia University-Wisconsin,0.816496580927726,0.6992031872509961
327,Davenport,Davenport University,0.7071067811865475,0.9169675090252708
328,Lancaster Bible,Grace Bible College,0.408248290463863,0.7485549132947977
329,LaGrange,LaGrange College,0.7071067811865475,0.5837378640776699
330,Roger Williams,Roger Williams University,0.816496580927726,0.8097771865646824
331,Truett-McConnell College,Brewton-Parker College,1.0,0.5136842105263157
332,Misericordia,Misericordia University,0.7071067811865475,0.6489411764705882
333,California,University of California-Berkeley,0.7071067811865475,0.1799828248294635
334,Westmont,Westmont College,0.7071067811865475,0.7016317016317016
335,Gustavus Adolphus,Gustavus Adolphus College,0.816496580927726,0.6321815154038302
336,Wisconsin-Whitewater,University of Wisconsin-Whitewater,0.7071067811865475,0.8467741935483871
337,Incarnate Word,University of the Incarnate Word,0.816496580927726,0.9307465618860511
338,San Francisco State,San Francisco State University,0.8660254037844388,0.6379124022630475
339,Academy of Art,California Maritime Academy,0.408248290463863,0.748040313549832
340,South Carolina-Aiken,University of South Carolina-Aiken,0.816496580927726,0.5122137404580153
341,Memphis,University of Memphis,0.7071067811865475,0.6841402337228715
342,Cazenovia,Cazenovia College,0.7071067811865475,0.7795081967213114
343,Young Harris College,Brewton-Parker College,0.5773502691896258,0.5136842105263157
344,Lee,Lee University,0.7071067811865475,0.91651865008881
345,Penn,William Penn University,0.5773502691896258,0.5765550239234449
346,Aurora,Aurora University,0.7071067811865475,0.7594637223974764
347,Oberlin,Oberlin College,0.7071067811865475,0.3041140091422425
348,York (Pa.),York College,0.4999999999999999,0.489010989010989
349,Drury,Drury University,0.7071067811865475,0.8094795539033457
350,Niagara,Niagara University,0.7071067811865475,0.6633476856835306
351,Southern Connecticut,Southern Connecticut State University,0.7071067811865475,0.7542094455852156
352,University of Dallas,University of Dallas,0.9999999999999998,0.9011437908496732
353,UNC Asheville,University of North Carolina at Asheville,0.35355339059327373,0.6403162055335968
354,Catholic,Catholic University of America,0.5773502691896258,0.600666878374087
355,San Jose State,San Jose State University,0.8660254037844388,0.6347445835817929
356,UNC-Pembroke,University of North Carolina at Pembroke,0.35355339059327373,0.720440557175251
357,Capital,Capital University,0.7071067811865475,0.7604395604395604
358,Georgia Southern,Georgia Southern University,0.816496580927726,0.52
359,St. Mary's (CA),St Mary's University,0.6666666666666669,0.582280940353604
360,UNC Greensboro,Greensboro College,0.4999999999999999,0.7831050228310502
361,LeTourneau,LeTourneau University,0.7071067811865475,0.4066298342541437
362,Brandeis,Brandeis University,0.7071067811865475,0.3703664700926706
363,Portland,University of Portland,0.7071067811865475,0.6679617767510239
364,UC Riverside,University of California-Riverside,0.408248290463863,0.6200190845974137
365,Stetson,Stetson University,0.7071067811865475,0.592539727852317
366,Rutgers,Rutgers University-Camden,0.7071067811865475,0.5858545112276455
367,Northeastern State,Northeastern State University,0.816496580927726,0.733721545791424
368,Lebanon Valley,Lebanon Valley College,0.816496580927726,0.6686000527287108
369,West Texas A&M,West Texas A & M University,0.816496580927726,0.7402849740932642
370,Saint Leo,Saint Leo University,0.816496580927726,0.7662051604782882
371,Nebraska Wesleyan,Nebraska Wesleyan University,0.816496580927726,0.7688984881209503
372,Yale,Yale University,0.7071067811865475,0.07050419298063981
373,Sacramento State,California State University-Sacramento,0.7071067811865475,0.696782052583494
374,Huntington,Huntington University,0.7071067811865475,0.9732142857142857
375,Liberty,Liberty University,0.7071067811865475,0.2165272401881217
376,Lincoln Memorial,Lincoln Memorial University,0.816496580927726,0.6994871794871795
377,Duquesne,Duquesne University,0.7071067811865475,0.7409097600471073
378,Tulsa,University of Tulsa,0.7071067811865475,0.4059419496166484
379,Olivet,Olivet College,0.7071067811865475,0.5147869674185463
380,Saint Joseph's (Ind.),University of Saint Joseph,0.6666666666666669,0.8569767441860465
381,Salisbury,Salisbury University,0.7071067811865475,0.5493716337522442
382,Holy Names,Holy Names University,0.816496580927726,0.5668449197860963
383,Maryland,Loyola University Maryland,0.5773502691896258,0.5800499852984417
384,Xavier,Xavier University,0.7071067811865475,0.6997341157055103
385,Penn State-Altoona,Pennsylvania State University-Penn State Altoona,0.816496580927726,0.8519298245614035
386,South Dakota School of Mines,Colorado School of Mines,0.5773502691896258,0.37433658620099297
387,Massachusetts-Boston,University of Massachusetts-Boston,0.816496580927726,0.7140758873929008
388,College of Charleston,College of Charleston,0.9999999999999998,0.7031019202363368
389,Santa Clara,Santa Clara University,0.816496580927726,0.5121696073645303
390,St. Thomas (Minn.),St Thomas University,0.6666666666666669,0.45667125171939477
391,Central Connecticut,Central Connecticut State University,0.7071067811865475,0.6413258872275266
392,Western Michigan,Western Michigan University,0.816496580927726,0.8284659052048423
393,Wesleyan (Conn.),Wesleyan University,0.4999999999999999,0.20923750746565797
394,East Texas Baptist,East Texas Baptist University,0.8660254037844388,0.7362482369534555
395,Texas A&M International,Texas A & M International University,0.816496580927726,0.4784698996655518
396,Northwestern,Northwestern University,0.7071067811865475,0.15321272613849032
397,West Florida,The University of West Florida,0.816496580927726,0.4808455495262007
398,Auburn Montgomery,Auburn University at Montgomery,0.816496580927726,0.8370786516853933
399,Alabama-Huntsville,University of Alabama in Huntsville,0.816496580927726,0.8062317429406037
